epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3152.14,2.64233,11.4123,2.31088,0.01101,0.48914,0.12787,0.08313,2.28396,15.6544,2.13481,0.000545744,0.000545744,0.000545744
2,6447.9,2.55695,8.66084,2.30153,0.33929,0.33462,0.28201,0.19289,2.38401,12.2082,2.25373,0.00106473,0.00106473,0.00106473
3,9399.02,2.61296,6.87848,2.33146,0.5,0.00647,0.01577,0.0108,5.45186,13.6241,4.43317,0.00154672,0.00154672,0.00154672
4,12335.7,2.61609,5.69614,2.32777,0.31148,0.15242,0.15968,0.09836,3.09432,9.24793,2.84379,0.00150047,0.00150047,0.00150047
5,15204.2,2.55741,4.64374,2.29,0.39236,0.61196,0.40511,0.28453,2.23274,4.83072,2.18291,0.00144496,0.00144496,0.00144496
6,18113.3,2.48214,3.96775,2.29151,0.36294,0.60304,0.38752,0.25441,2.40874,4.75907,2.26033,0.00138944,0.00138944,0.00138944
7,20934.8,2.40778,3.51959,2.2443,0.41027,0.68704,0.42617,0.27646,2.57109,3.70368,2.33913,0.00133393,0.00133393,0.00133393
8,23790.2,2.36932,3.22301,2.23692,0.38432,0.62168,0.38937,0.25494,2.46738,3.90357,2.29978,0.00127842,0.00127842,0.00127842
9,26793,2.35596,3.05092,2.2311,0.43254,0.72007,0.46489,0.32553,2.15662,3.09127,2.14036,0.00122291,0.00122291,0.00122291
10,29775.8,2.29724,2.90551,2.20801,0.44211,0.62528,0.43607,0.3105,2.22898,3.27287,2.16453,0.0011674,0.0011674,0.0011674
11,32713.1,2.25236,2.89564,2.19846,0.44015,0.68951,0.45983,0.33042,2.1774,3.0176,2.11894,0.00111189,0.00111189,0.00111189
12,35618,2.25259,2.7805,2.18859,0.41996,0.704,0.4344,0.31605,2.10743,2.88261,2.10038,0.00105638,0.00105638,0.00105638
13,38551.1,2.22141,2.69596,2.18613,0.43356,0.73522,0.45117,0.3163,2.22395,2.88539,2.1576,0.00100087,0.00100087,0.00100087
14,41495.4,2.22539,2.64697,2.15806,0.46305,0.71048,0.46717,0.3518,1.99918,2.69565,2.04035,0.000945356,0.000945356,0.000945356
15,44454,2.14513,2.55738,2.14494,0.46914,0.68689,0.45546,0.3294,2.13825,2.71058,2.06443,0.000889845,0.000889845,0.000889845
16,47420.6,2.1656,2.61601,2.12147,0.44188,0.68212,0.45402,0.31519,2.14101,2.73428,2.13596,0.000834333,0.000834333,0.000834333
17,50420.7,2.10299,2.50261,2.12993,0.43449,0.72449,0.44342,0.31424,2.04163,2.573,2.06691,0.000778822,0.000778822,0.000778822
18,53369.2,2.12419,2.48732,2.11243,0.42504,0.78792,0.44529,0.32103,2.10348,2.66331,2.08498,0.000723311,0.000723311,0.000723311
19,56278.8,2.06907,2.43123,2.07926,0.47021,0.72394,0.47381,0.35269,1.96275,2.49164,2.00937,0.0006678,0.0006678,0.0006678
20,59134.9,1.99689,2.37393,2.05349,0.46833,0.72847,0.45989,0.334,2.01659,2.60194,2.06839,0.000612289,0.000612289,0.000612289
21,62046.6,1.88316,2.24907,2.05052,0.45212,0.72272,0.45564,0.32675,2.10819,2.71752,2.07034,0.000556778,0.000556778,0.000556778
22,64915,1.8905,2.22515,2.02409,0.44515,0.70969,0.43826,0.3055,2.05446,2.53908,2.04854,0.000501267,0.000501267,0.000501267
23,67776.2,1.82013,2.19722,2.01969,0.45153,0.77168,0.45233,0.33197,1.95147,2.43582,2.04153,0.000445756,0.000445756,0.000445756
24,70690.1,1.78582,2.10625,1.98946,0.46638,0.79142,0.46068,0.33825,1.94548,2.50513,2.01605,0.000390245,0.000390245,0.000390245
25,73540.3,1.75369,2.05156,1.95644,0.44436,0.84151,0.46623,0.33643,1.99048,2.45782,2.04395,0.000334734,0.000334734,0.000334734
26,76476.9,1.72141,2.01937,1.96886,0.46127,0.78022,0.45902,0.3388,1.98027,2.4069,2.0651,0.000279222,0.000279222,0.000279222
27,79342.4,1.72688,1.99829,1.95049,0.46324,0.79142,0.45961,0.32955,2.03319,2.50635,2.06572,0.000223711,0.000223711,0.000223711
28,82278.6,1.68113,1.94438,1.93825,0.45086,0.78568,0.46145,0.3399,1.96454,2.47178,2.03524,0.0001682,0.0001682,0.0001682
29,85186.9,1.62164,1.87489,1.89301,0.44451,0.73731,0.46099,0.3369,1.94014,2.52855,2.03068,0.000112689,0.000112689,0.000112689
